model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
risk_uncalibrated,2026091000,0,1,-8.0,2.5,0,0,0,0,0,0,0,0.018518518518518517,54,9.052865448649284,3.2992626540362835,350.2197042107582,0,108
risk_uncalibrated,2026091000,1,1,-8.0,2.5,0,0,0,0,0,0,0,0.014492753623188406,69,2.5236786383649576,3.332590311765669,4.280123859643936,0,138
risk_uncalibrated,2026091000,2,1,-28.0,3.0,0,0,0,0,0,0,0,0.024390243902439025,82,2.477887245576556,2.942369319498539,5.909569561481476,0,167
risk_uncalibrated,2026091000,3,1,0.0,2.5,0,0,0,0,0,1,1,0.011627906976744186,86,2.5128774604825086,3.1553879380226135,3.9095208048820496,0,172
risk_uncalibrated,2026091001,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.01639344262295082,61,2.576800154857948,3.2571442425251007,3.8232561200857162,0,123
risk_uncalibrated,2026091001,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,59,2.5170609607534895,3.308057971298694,3.735797479748726,0,119
risk_uncalibrated,2026091001,2,2,-21.0,4.0,0,0,1,13,0,0,0,0.05084745762711865,59,2.429960263987719,2.9327115043997765,2.972489222884178,0,119
risk_uncalibrated,2026091001,3,2,37.0,1.0,1,0,0,0,0,0,0,0.03333333333333333,60,2.421594193826119,2.9555619694292545,3.446921706199646,0,119
risk_uncalibrated,2026091002,0,0,35.0,1.0,1,0,0,0,0,0,0,0.0,46,2.5836915263663167,3.3780131489038467,3.8927290588617325,0,92
risk_uncalibrated,2026091002,1,0,48.0,1.0,1,1,0,0,0,0,0,0.0,21,2.61185531105314,3.3851880580186844,4.13636676967144,0,41
risk_uncalibrated,2026091002,2,0,-16.0,3.0,0,0,0,0,0,0,0,0.0,20,2.498831879347563,2.9682079330086713,3.3478569239377975,0,41
risk_uncalibrated,2026091002,3,0,-16.0,3.0,0,0,0,0,0,0,0,0.0,20,2.6091638021171093,3.2011410221457486,3.957236185669899,0,41
risk_uncalibrated,2026091003,0,1,36.0,1.0,1,0,0,0,0,0,0,0.05128205128205128,39,2.6538514364988375,4.012777097523213,5.740687251091003,0,78
risk_uncalibrated,2026091003,1,1,-8.0,2.5,0,0,0,0,0,0,0,0.02564102564102564,39,2.6278254122306137,3.552042134106162,5.495676770806313,0,78
risk_uncalibrated,2026091003,2,1,42.0,1.0,1,0,0,0,0,0,0,0.03333333333333333,60,2.46778791770339,2.9704997316002846,3.5553686320781708,0,120
risk_uncalibrated,2026091003,3,1,-8.0,2.5,0,0,0,0,0,0,0,0.05,60,2.468282108505567,3.1028005294501777,4.799047484993935,0,120
risk_uncalibrated,2026091004,0,1,-23.0,3.0,0,0,0,0,0,0,0,0.0,46,2.55809080503557,3.304606769233942,3.464262932538986,0,93
risk_uncalibrated,2026091004,1,1,35.0,1.0,1,0,0,0,0,0,0,0.027777777777777776,36,2.52757231808371,3.117131534963846,3.4806784242391586,0,72
risk_uncalibrated,2026091004,2,1,-23.0,3.0,0,0,0,0,0,0,0,0.044444444444444446,45,2.465069376760059,2.901512011885643,3.503110259771347,0,91
risk_uncalibrated,2026091004,3,1,-19.0,4.0,0,0,1,11,0,0,0,0.025,40,2.420502481982112,2.942012250423431,3.368860110640526,0,80
risk_uncalibrated,2026091005,0,1,35.0,1.0,1,0,0,0,0,0,0,0.04878048780487805,41,2.4430357919233603,2.999899908900261,3.3421162515878677,0,82
risk_uncalibrated,2026091005,1,1,-19.0,3.0,0,0,0,0,0,0,0,0.0,24,2.6246757867435613,2.9791582375764847,4.015399143099785,0,49
risk_uncalibrated,2026091005,2,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,35,2.4750722838299617,2.9767852276563644,3.492981195449829,0,70
risk_uncalibrated,2026091005,3,1,-8.0,2.5,0,0,0,0,0,0,0,0.024390243902439025,41,2.424399800053457,3.2599102705717087,3.3548958599567413,0,82
risk_uncalibrated,2026091006,0,0,-18.0,4.0,0,0,1,10,0,0,0,0.0,35,2.5722807539360866,3.0681401491165157,3.4016072750091553,0,70
risk_uncalibrated,2026091006,1,0,32.0,1.0,1,0,0,0,0,0,0,0.02857142857142857,70,2.5004747456737926,3.1254267320036884,3.738788887858391,0,140
risk_uncalibrated,2026091006,2,0,57.0,1.0,1,1,0,0,0,0,0,0.013333333333333334,75,2.5841465344031653,3.170515038073063,4.210513085126877,0,149
