model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
final_raw,2026082500,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.017543859649122806,57,7.650771594949458,1.8829477950930593,334.0828372165561,0,114
final_raw,2026082500,1,2,54.0,1.0,1,1,0,0,0,0,0,0.075,40,1.7977029900066555,1.8350129714235663,2.4922052398324013,0,79
final_raw,2026082500,2,2,-17.0,3.0,0,0,0,0,0,0,0,0.01818181818181818,55,1.7590208317745815,1.7927659675478935,1.803987193852663,0,111
final_raw,2026082500,3,2,-18.0,3.0,0,0,0,0,0,0,0,0.02564102564102564,39,1.752061279824911,1.7786629498004913,1.8016071990132332,0,79
final_raw,2026082501,0,2,33.0,1.0,1,0,0,0,0,0,0,0.044444444444444446,45,1.8226743572288089,1.841999590396881,2.0497366786003113,0,90
final_raw,2026082501,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,40,1.7758173984475434,1.8248716834932566,1.8432820215821266,0,80
final_raw,2026082501,2,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,54,1.7607785174968067,1.7966300249099731,1.9642561674118042,0,108
final_raw,2026082501,3,2,-17.0,4.0,0,0,1,9,0,0,0,0.046511627906976744,43,1.751849633576565,1.7759930342435837,1.7803190276026726,0,86
final_raw,2026082502,0,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,45,1.8678590655326843,1.8467322923243046,4.007789306342602,0,90
final_raw,2026082502,1,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,46,1.7753366441668377,1.8268130952492356,1.8410137854516506,0,92
final_raw,2026082502,2,3,-8.0,2.5,0,0,0,0,0,0,0,0.022222222222222223,45,1.7634195793006155,1.7973094247281551,1.8016602843999863,0,90
final_raw,2026082502,3,3,36.0,1.0,1,0,0,0,0,0,0,0.022222222222222223,45,1.7617280181083415,1.7926676198840141,1.7964872531592846,0,90
final_raw,2026082503,0,0,-8.0,2.5,0,0,0,0,0,0,0,0.0,51,1.8348930969688237,1.8436084501445293,2.5705648586153984,0,102
final_raw,2026082503,1,0,45.0,1.0,1,0,0,0,0,0,0,0.0,47,1.7797617301186348,1.8362129107117653,1.8618418835103512,0,94
final_raw,2026082503,2,0,34.0,1.0,1,0,0,0,0,0,0,0.039473684210526314,76,1.7624038063283813,1.805563922971487,1.8162820488214493,0,152
final_raw,2026082503,3,0,-8.0,2.5,0,0,0,0,0,0,0,0.02127659574468085,47,1.786779919441076,1.7959189601242542,3.119204193353653,0,94
final_raw,2026082504,0,0,52.0,1.0,1,0,0,0,0,0,0,0.0,74,1.817970530356507,1.8469807459041476,1.8637827597558498,0,148
final_raw,2026082504,1,0,-20.0,4.0,0,0,1,12,0,0,0,0.0,74,1.799554066933893,1.8429493298754096,2.545763272792101,0,148
final_raw,2026082504,2,0,46.0,1.0,1,0,0,0,0,0,0,0.01639344262295082,61,1.7698210679361077,1.8087089993059635,1.8201409839093685,0,122
final_raw,2026082504,3,0,-20.0,4.0,0,0,1,12,0,0,0,0.025,80,1.7618893296457827,1.7945838626474142,1.8149148672819138,0,160
final_raw,2026082505,0,2,32.0,1.0,1,0,0,0,0,0,0,0.046875,64,1.8150780160794966,1.8488142406567931,1.8654861487448215,0,128
final_raw,2026082505,1,2,38.0,1.0,1,0,0,0,0,0,0,0.01639344262295082,61,1.7935962904794294,1.8437928520143032,2.386047039180994,0,122
final_raw,2026082505,2,2,-8.0,2.5,0,0,0,0,0,0,0,0.01639344262295082,61,1.754250316346278,1.7943731509149075,1.8049981445074081,0,122
final_raw,2026082505,3,2,-26.0,4.0,0,0,1,18,0,0,0,0.03125,64,1.7466745630372316,1.78515559528023,1.8109418451786041,0,128
final_raw,2026082506,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.04838709677419355,62,1.8149259980888135,1.839773473329842,1.8521463498473167,0,124
final_raw,2026082506,1,2,60.0,1.0,1,1,0,0,0,0,0,0.031746031746031744,63,1.7748016731015273,1.8253440037369728,2.1804911084473133,0,125
final_raw,2026082506,2,2,-8.0,2.5,0,0,0,0,0,0,0,0.014925373134328358,67,1.7589725929298508,1.7987083178013563,1.8170690163969994,0,134
final_raw,2026082506,3,2,40.0,1.0,1,0,0,0,0,0,0,0.04,50,1.7592756729573011,1.7833915306255221,2.5108028203248978,0,100
final_raw,2026082507,0,2,-16.0,4.0,0,0,1,8,0,0,0,0.04081632653061224,49,1.82532792796894,1.8553823232650757,2.3851641453802586,0,98
final_raw,2026082507,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,49,1.7872633773605435,1.833287626504898,2.0400937646627426,0,98
final_raw,2026082507,2,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,49,1.7618780708586683,1.800594199448824,1.812672708183527,0,98
final_raw,2026082507,3,2,-17.0,3.0,0,0,0,0,0,0,0,0.0,60,1.755511403704683,1.7939895391464233,1.7970413900911808,0,121
final_raw,2026082508,0,2,35.0,1.0,1,0,0,0,0,0,0,0.05,60,1.8156790795425575,1.8435862381011248,1.8712799064815044,0,120
final_raw,2026082508,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,60,1.7792831795910995,1.8330760300159454,1.8520122393965721,0,120
final_raw,2026082508,2,2,-19.0,4.0,0,0,1,11,0,0,0,0.03125,64,1.7580967105459422,1.80313172750175,1.8155579455196857,0,128
final_raw,2026082508,3,2,-8.0,2.5,0,0,0,0,0,0,0,0.05,60,1.750459506486853,1.7836950020864606,1.8040640279650688,0,120
final_raw,2026082509,0,0,0.0,2.5,0,0,0,0,0,1,0,0.0,84,1.8181916703248309,1.846543257124722,1.87603197991848,0,168
final_raw,2026082509,1,0,-8.0,2.5,0,0,0,0,0,0,0,0.0,84,1.7807026160880923,1.8387435236945748,1.9481023773550987,0,168
final_raw,2026082509,2,0,63.0,1.0,1,1,0,0,0,0,0,0.0,71,1.776978799837156,1.8121981993317604,2.7792109176516533,0,141
final_raw,2026082509,3,0,-30.0,4.0,0,0,0,0,0,0,0,0.015625,64,1.7555620288476348,1.7839796608313918,1.8346719443798065,1,127
final_raw,2026082510,0,1,-17.0,4.0,0,0,1,9,0,0,0,0.06451612903225806,31,1.8273740255784603,1.8511530943214893,2.4062851443886757,0,62
final_raw,2026082510,1,1,38.0,1.0,1,0,0,0,0,0,0,0.07692307692307693,39,1.773996111483146,1.831353036686778,1.84187525883317,0,78
final_raw,2026082510,2,1,-8.0,2.5,0,0,0,0,0,0,0,0.046511627906976744,43,1.7574484525031822,1.8026068340986967,1.814145129173994,0,86
final_raw,2026082510,3,1,-22.0,4.0,0,0,1,14,0,0,0,0.0,37,1.7437356196948,1.7675691284239292,1.786127220839262,0,74
final_raw,2026082511,0,1,60.0,1.0,1,1,0,0,0,0,0,0.024390243902439025,41,1.8425391328225775,1.8477658741176128,3.046120051294565,0,81
