model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
base_e17,2026084000,0,0,-19.0,4.0,0,0,1,11,0,0,0,0.0,35,12.093397655657359,2.9117056634277105,340.7877366989851,0,70
base_e17,2026084000,1,0,34.0,1.0,1,0,0,0,0,0,0,0.08108108108108109,37,2.3428061221902436,2.654841262847185,2.7769231237471104,0,74
base_e17,2026084000,2,0,-21.0,3.0,0,0,0,0,0,0,0,0.05660377358490566,53,2.3272236861850857,2.690011356025934,2.8421650640666485,0,107
base_e17,2026084000,3,0,-8.0,2.5,0,0,0,0,0,0,0,0.0,37,2.3545622699768156,2.9941427521407604,3.0251978896558285,0,74
base_e17,2026084001,0,2,-19.0,4.0,0,0,1,11,0,0,0,0.0,69,2.472437121837899,3.005062974989414,3.1543741934001446,0,138
base_e17,2026084001,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,68,2.4210703285301434,3.0299478443339467,3.1144050881266594,0,136
base_e17,2026084001,2,2,-16.0,3.0,0,0,0,0,0,0,0,0.012658227848101266,79,2.4072609228801123,2.909602178260684,3.3463076688349247,0,159
base_e17,2026084001,3,2,-19.0,4.0,0,0,1,11,0,0,0,0.0,60,2.3866791278123856,2.898658998310566,3.022296354174614,0,120
base_e17,2026084002,0,3,-8.0,2.5,0,0,0,0,0,0,0,0.02127659574468085,47,2.4300024626736945,2.881601545959711,2.958201803267002,0,94
base_e17,2026084002,1,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,47,2.4154937449604907,2.912562806159258,3.4512500278651714,0,94
base_e17,2026084002,2,3,-17.0,4.0,0,0,1,9,0,0,0,0.0425531914893617,47,2.3290350874687764,2.696517575532198,2.8629181906580925,0,94
base_e17,2026084002,3,3,33.0,1.0,1,0,0,0,0,0,0,0.02127659574468085,47,2.381424706904812,3.0101533979177475,3.03978705778718,0,94
base_e17,2026084003,0,3,37.0,1.0,1,0,0,0,0,0,0,0.058823529411764705,68,2.370230470071821,2.6337887393310666,2.848725765943527,0,136
base_e17,2026084003,1,3,0.0,2.5,0,0,0,0,0,1,1,0.03614457831325301,83,2.356466102267963,2.714799018576741,2.739463932812214,0,166
base_e17,2026084003,2,3,-8.0,2.5,0,0,0,0,0,0,0,0.014705882352941176,68,2.3861402330700967,2.9047553427517414,2.9596518725156784,0,136
base_e17,2026084003,3,3,-16.0,4.0,0,0,1,8,0,0,0,0.0,49,2.404732354061336,3.0334013514220715,3.1843059696257114,0,98
base_e17,2026084004,0,0,-17.0,4.0,0,0,1,9,0,0,0,0.0,36,2.4413681951247983,2.878126222640276,2.9020318761467934,0,72
base_e17,2026084004,1,0,-8.0,2.5,0,0,0,0,0,0,0,0.016129032258064516,62,2.427933790210274,3.0297719640657306,3.107143100351095,0,124
base_e17,2026084004,2,0,-17.0,4.0,0,0,1,9,0,0,0,0.04225352112676056,71,2.349801335326383,2.821675268933177,2.861469052731991,0,142
base_e17,2026084004,3,0,10.0,2.0,0,0,0,0,0,0,0,0.0,59,2.4082997766465453,3.0419141985476017,3.1027738004922867,1,119
base_e17,2026084005,0,2,63.0,1.0,1,1,0,0,0,0,0,0.029411764705882353,34,2.433341174550793,2.9204871272668242,2.9634693637490273,0,67
base_e17,2026084005,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.08571428571428572,35,2.3644498815493926,2.8372952714562416,2.9787118546664715,0,70
base_e17,2026084005,2,2,-21.0,3.0,0,0,0,0,0,0,0,0.06060606060606061,33,2.312067317578829,2.7079752646386623,2.801372669637203,0,67
base_e17,2026084005,3,2,-21.0,3.0,0,0,0,0,0,0,0,0.029411764705882353,34,2.3690886822912622,2.8297523269429803,2.919292077422142,0,69
base_e17,2026084006,0,1,33.0,1.0,1,0,0,0,0,0,0,0.023809523809523808,42,2.421358178946234,2.8411438688635826,2.871328964829445,0,84
base_e17,2026084006,1,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,43,2.3782000508765844,2.862338675186038,2.905824687331915,0,86
base_e17,2026084006,2,1,33.0,1.0,1,0,0,0,0,0,0,0.014925373134328358,67,2.3649152048599364,2.863818407058716,2.9338779859244823,0,134
base_e17,2026084006,3,1,-8.0,2.5,0,0,0,0,0,0,0,0.029850746268656716,67,2.349652899012192,2.7552354149520397,2.7969637885689735,0,134
base_e17,2026084007,0,1,43.0,1.0,1,0,0,0,0,0,0,0.047619047619047616,42,2.399441475669543,2.6680581271648407,3.037927206605673,0,84
base_e17,2026084007,1,1,-8.0,2.5,0,0,0,0,0,0,0,0.047619047619047616,42,2.372158347584662,2.8516863705590367,2.8983429074287415,0,84
base_e17,2026084007,2,1,-8.0,2.5,0,0,0,0,0,0,0,0.05,40,2.364162146113813,2.8414832428097725,3.2292790710926056,0,80
base_e17,2026084007,3,1,35.0,1.0,1,0,0,0,0,0,0,0.075,40,2.31838570907712,2.686723042279482,2.7132253162562847,0,80
base_e17,2026084008,0,0,-8.0,2.5,0,0,0,0,0,0,0,0.0,22,2.4698112075301735,2.9596715001389384,3.23157524690032,0,44
base_e17,2026084008,1,0,-28.0,4.0,0,0,1,20,0,0,0,0.0,22,2.3974196731366892,2.8102256823331118,2.8129960410296917,0,44
