model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
final_hybrid,2026086000,0,1,-18.0,3.0,0,0,0,0,0,0,0,0.025,80,6.692497822223231,2.8130165534093976,346.83413384482265,0,161
final_hybrid,2026086000,1,1,37.0,1.0,1,0,0,0,0,0,0,0.0,35,2.384568444852318,2.9039386659860607,3.387107979506254,0,70
final_hybrid,2026086000,2,1,33.0,1.0,1,0,0,0,0,0,0,0.04081632653061224,49,2.3385020239012584,2.797261904925108,2.825458999723196,0,98
final_hybrid,2026086000,3,1,54.0,1.0,1,1,0,0,0,0,0,0.045454545454545456,44,2.3496426874771714,2.824043994769454,3.8337940350174904,0,87
final_hybrid,2026086001,0,0,-23.0,3.0,0,0,0,0,0,0,0,0.02631578947368421,76,2.384363808424065,2.807659679092467,2.860163804143667,0,153
final_hybrid,2026086001,1,0,-16.0,4.0,0,0,1,8,0,0,0,0.029850746268656716,67,2.3744997721332224,2.7499582152813673,4.881992004811764,0,134
final_hybrid,2026086001,2,0,39.0,1.0,1,0,0,0,0,0,0,0.015625,64,2.3913061813800596,2.8982388088479634,4.1215564124286175,0,128
final_hybrid,2026086001,3,0,0.0,2.5,0,0,0,0,0,1,1,0.023809523809523808,84,2.386599962067391,2.8473349753767248,4.878750070929527,0,168
final_hybrid,2026086002,0,3,34.0,1.0,1,0,0,0,0,0,0,0.034482758620689655,29,2.3442318919917633,2.6729678735136986,2.750006038695574,0,58
final_hybrid,2026086002,1,3,-19.0,4.0,0,0,1,11,0,0,0,0.04411764705882353,68,2.3670518387328174,2.7477727737277746,3.407226875424385,0,136
final_hybrid,2026086002,2,3,-18.0,4.0,0,0,1,10,0,0,0,0.0,21,2.331312524066085,2.891632728278637,2.9037240892648697,0,42
final_hybrid,2026086002,3,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,21,2.4132577569356988,2.7730590663850307,5.48828300088644,0,42
final_hybrid,2026086003,0,2,-20.0,4.0,0,0,1,12,0,0,0,0.014285714285714285,70,2.39065092589174,2.820314560085535,3.025305923074484,0,140
final_hybrid,2026086003,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.034482758620689655,58,2.375356339175126,2.8490478871390224,3.8555869832634926,0,116
final_hybrid,2026086003,2,2,36.0,1.0,1,0,0,0,0,0,0,0.014492753623188406,69,2.3196848257836225,2.8105098754167557,2.8666392900049686,0,138
final_hybrid,2026086003,3,2,38.0,1.0,1,0,0,0,0,0,0,0.013513513513513514,74,2.3596322893895008,2.8298181015998125,3.945872187614441,0,148
final_hybrid,2026086004,0,0,-19.0,3.0,0,0,0,0,0,0,0,0.0,44,2.430581201968545,2.8782833833247423,3.047632984817028,0,89
final_hybrid,2026086004,1,0,-19.0,3.0,0,0,0,0,0,0,0,0.0,42,2.3615903309768154,2.7905346592888236,3.229687921702862,0,85
final_hybrid,2026086004,2,0,0.0,2.5,0,0,0,0,0,1,1,0.011764705882352941,85,2.3885998929686405,2.941960748285055,4.9283490516245365,0,170
final_hybrid,2026086004,3,0,-8.0,2.5,0,0,0,0,0,0,0,0.04081632653061224,49,2.2914436436733423,2.6771449483931065,2.755099907517433,0,98
final_hybrid,2026086005,0,2,-18.0,3.0,0,0,0,0,0,0,0,0.047619047619047616,42,2.703708541091709,3.5589687526226044,3.876805305480957,0,85
final_hybrid,2026086005,1,2,54.0,1.0,1,1,0,0,0,0,0,0.046153846153846156,65,2.335335959035617,2.6255461387336254,4.710745997726917,0,129
final_hybrid,2026086005,2,2,-17.0,4.0,0,0,1,9,0,0,0,0.05555555555555555,36,2.297024061489436,2.7933407109230757,2.8311777859926224,0,72
final_hybrid,2026086005,3,2,-18.0,3.0,0,0,0,0,0,0,0,0.045454545454545456,44,2.3356655781919304,2.661933982744813,3.97247401997447,0,89
final_hybrid,2026086006,0,1,60.0,1.0,1,1,0,0,0,0,0,0.022222222222222223,45,2.4331965069803925,2.8697007335722446,4.627678077667952,0,89
final_hybrid,2026086006,1,1,-21.0,3.0,0,0,0,0,0,0,0,0.0,28,2.537616977601179,4.249286814592775,5.534880794584751,0,57
final_hybrid,2026086006,2,1,-21.0,3.0,0,0,0,0,0,0,0,0.03333333333333333,30,2.4683337348202863,3.7112828809767917,4.705711267888546,0,61
final_hybrid,2026086006,3,1,-21.0,3.0,0,0,0,0,0,0,0,0.03571428571428571,28,2.3432753680806075,2.8868834488093853,2.986049745231867,0,57
final_hybrid,2026086007,0,2,-18.0,3.0,0,0,0,0,0,0,0,0.023809523809523808,42,2.410662305053501,2.753763017244637,4.378607030957937,0,85
final_hybrid,2026086007,1,2,54.0,1.0,1,1,0,0,0,0,0,0.023255813953488372,43,2.313104339030593,2.749585872516036,2.887786366045475,0,85
final_hybrid,2026086007,2,2,-18.0,3.0,0,0,0,0,0,0,0,0.07142857142857142,42,2.297045940178491,2.7218786999583244,3.197203855961561,0,85
final_hybrid,2026086007,3,2,-18.0,3.0,0,0,0,0,0,0,0,0.0,42,2.3693071700455177,2.9948717448860407,3.6428370513021946,0,85
final_hybrid,2026086008,0,3,-8.0,2.5,0,0,0,0,0,0,0,0.011494252873563218,87,2.4333338403068057,2.8324426151812077,5.09403832256794,0,174
final_hybrid,2026086008,1,3,63.0,1.0,1,1,0,0,0,0,0,0.0,52,2.374263659406167,2.940791705623269,3.578808158636093,0,103
final_hybrid,2026086008,2,3,-18.0,3.0,0,0,0,0,0,0,0,0.022727272727272728,88,2.3709627513943072,2.8656877344474196,4.017696250230074,0,177
final_hybrid,2026086008,3,3,-20.0,3.0,0,0,0,0,0,0,0,0.03636363636363636,55,2.3554260842502117,2.734387898817658,4.434489645063877,0,111
final_hybrid,2026086009,0,1,-17.0,4.0,0,0,1,9,0,0,0,0.041666666666666664,48,2.343330386793241,2.6146774645894766,2.8301849961280823,0,96
final_hybrid,2026086009,1,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,36,2.4284111698054605,2.8373482637107372,5.243713967502117,0,72
final_hybrid,2026086009,2,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,36,2.66479953036954,3.9437310770154,4.922959022223949,0,72
final_hybrid,2026086009,3,1,-50.0,4.0,0,0,1,42,1,0,0,0.027777777777777776,36,2.2798301393373146,2.6215846883133054,2.7768448926508427,0,72
final_hybrid,2026086010,0,3,-19.0,4.0,0,0,1,11,0,0,0,0.017241379310344827,58,2.425356928644509,2.871539886109531,2.994796261191368,0,117
final_hybrid,2026086010,1,3,-8.0,2.5,0,0,0,0,0,0,0,0.03225806451612903,62,2.3859953958420985,2.759113139472902,4.447727929800749,0,125
final_hybrid,2026086010,2,3,38.0,1.0,1,0,0,0,0,0,0,0.046511627906976744,43,2.4156687932825367,2.9809551779180765,4.207445774227381,0,85
final_hybrid,2026086010,3,3,34.0,1.0,1,0,0,0,0,0,0,0.016129032258064516,62,2.3204902592565744,2.73863619659096,3.309553023427725,0,125
final_hybrid,2026086011,0,0,-19.0,3.0,0,0,0,0,0,0,0,0.09523809523809523,21,2.34167016155663,2.578246872872114,3.06400703266263,0,43
final_hybrid,2026086011,1,0,57.0,1.0,1,1,0,0,0,0,0,0.13636363636363635,22,2.3038650820539757,2.6476770639419556,2.659520599991083,0,43
