model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
aggregate_risk,2026105000,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.03571428571428571,28,14.79492215107062,2.852501696906984,350.45165196061134,0,56
aggregate_risk,2026105000,1,2,69.0,1.0,1,1,0,0,0,0,0,0.016129032258064516,62,2.2794378455728292,2.639016858302057,2.734003122895956,0,123
aggregate_risk,2026105000,2,2,54.0,1.0,1,0,0,0,0,0,0,0.0,30,2.268388137842218,2.641556947492063,2.666143234819174,0,60
aggregate_risk,2026105000,3,2,-23.0,3.0,0,0,0,0,0,0,0,0.0,61,2.297979229908498,2.777033019810915,2.8146160766482353,0,123
aggregate_risk,2026105001,0,2,-28.0,3.0,0,0,0,0,0,0,0,0.03076923076923077,65,2.445931345797502,2.9841205105185504,4.292245954275131,0,131
aggregate_risk,2026105001,1,2,-28.0,3.0,0,0,0,0,0,0,0,0.015384615384615385,65,2.2723126941575456,2.6662494987249374,2.7102408930659294,0,131
aggregate_risk,2026105001,2,2,84.0,1.0,1,1,0,0,0,0,0,0.030303030303030304,66,2.2285752153644958,2.602487104013562,2.6549468748271465,0,131
aggregate_risk,2026105001,3,2,-32.0,3.0,0,0,0,0,0,0,0,0.0,65,2.2565367559974012,2.6847817935049534,2.7295732870697975,0,131
aggregate_risk,2026105002,0,3,-33.0,3.0,0,0,0,0,0,0,0,0.017857142857142856,56,2.3282018789489354,2.6808063266798854,2.705405931919813,0,113
aggregate_risk,2026105002,1,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,64,2.316433012310881,2.81818516086787,2.871799748390913,0,129
aggregate_risk,2026105002,2,3,-25.0,3.0,0,0,0,0,0,0,0,0.0,55,2.303243877196854,2.804272621870041,2.8412649407982826,0,111
aggregate_risk,2026105002,3,3,-33.0,3.0,0,0,0,0,0,0,0,0.0,56,2.3675425493690585,2.851261873729527,4.231783095747232,0,113
