model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
candidate,20260706,0,3,35.0,1.0,1,0,0,0,0,0,0,0.075,40,10.916260164231062,3.1865050084888877,343.38897839188576,0,80
candidate,20260706,1,3,-17.0,4.0,0,0,1,9,0,0,0,0.09090909090909091,33,2.318689938295971,2.8508875519037247,2.8827525675296783,0,66
candidate,20260706,2,3,-19.0,4.0,0,0,1,11,0,0,0,0.0,36,2.4376109035478697,3.2861223444342613,3.5514365881681442,0,72
candidate,20260706,3,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,40,2.240652497857809,2.8289316222071648,2.8376225382089615,0,80
candidate,20260707,0,1,-8.0,2.5,0,0,0,0,0,0,0,0.019230769230769232,52,2.344312038845741,2.805438730865717,2.895902842283249,0,104
candidate,20260707,1,1,-29.0,4.0,0,0,1,21,0,0,0,0.04477611940298507,67,2.361243646313895,2.954745665192604,3.1116586178541183,0,134
candidate,20260707,2,1,-8.0,2.5,0,0,0,0,0,0,0,0.014925373134328358,67,2.2994775547465283,2.788253128528595,2.8501804918050766,0,134
candidate,20260707,3,1,45.0,1.0,1,0,0,0,0,0,0,0.014925373134328358,67,2.4525621322108737,3.422444127500057,5.338307470083237,0,134
candidate,20260708,0,0,102.0,1.0,1,1,0,0,0,0,0,0.0,45,2.415378764271736,3.019961714744568,3.1664352864027023,0,89
candidate,20260708,1,0,-34.0,3.0,0,0,0,0,0,0,0,0.045454545454545456,44,2.274562477726828,2.687008399516344,2.8211958706378937,0,89
candidate,20260708,2,0,-34.0,3.0,0,0,0,0,0,0,0,0.045454545454545456,44,2.230962823060426,2.5852184742689133,2.61889211833477,0,89
candidate,20260708,3,0,-34.0,3.0,0,0,0,0,0,0,0,0.022727272727272728,44,2.2667462683536788,2.757177222520113,2.8383769094944,0,89
candidate,20260709,0,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,28,2.3237492090889384,2.7970748022198677,2.8184987604618073,0,56
candidate,20260709,1,1,-19.0,4.0,0,0,1,11,0,0,0,0.0,26,2.312634426813859,2.787380013614893,2.8391368687152863,0,52
candidate,20260709,2,1,-8.0,2.5,0,0,0,0,0,0,0,0.022727272727272728,44,2.3185063407502393,2.830182481557131,2.840319648385048,0,88
candidate,20260709,3,1,35.0,1.0,1,0,0,0,0,0,0,0.03571428571428571,28,2.3046694030719146,3.054269682615995,3.1715426594018936,0,56
candidate,20260710,0,2,-23.0,3.0,0,0,0,0,0,0,0,0.0,29,2.4058648609909516,2.9061656445264816,2.9142703860998154,0,59
candidate,20260710,1,2,69.0,1.0,1,1,0,0,0,0,0,0.0,30,2.388297331829866,3.0782476067543025,3.3550281077623367,0,59
candidate,20260710,2,2,-23.0,3.0,0,0,0,0,0,0,0,0.034482758620689655,29,2.287822358053306,2.793731912970543,2.9385630041360855,0,59
candidate,20260710,3,2,-23.0,3.0,0,0,0,0,0,0,0,0.0,29,2.3785654198506783,3.0237894505262375,4.267899319529533,0,59
candidate,20260711,0,3,-24.0,3.0,0,0,0,0,0,0,0,0.0,74,2.4490722681622246,3.0622361227869987,3.173353150486946,0,149
candidate,20260711,1,3,57.0,1.0,1,1,0,0,0,0,0,0.02702702702702703,74,2.290056338785468,2.7319698594510555,3.007197752594948,0,147
candidate,20260711,2,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,68,2.463708248208551,3.1878966838121414,5.017878487706184,0,136
candidate,20260711,3,3,-8.0,2.5,0,0,0,0,0,0,0,0.024390243902439025,41,2.3879233929442196,2.8447117656469345,6.670225411653519,0,82
candidate,20260712,0,1,-8.0,2.5,0,0,0,0,0,0,0,0.038461538461538464,52,2.3133940636538544,2.6971680112183094,2.8305556625127792,0,104
candidate,20260712,1,1,52.0,1.0,1,0,0,0,0,0,0,0.0,52,2.436886505725292,3.3407870680093765,3.3846069127321243,0,104
candidate,20260712,2,1,-28.0,3.0,0,0,0,0,0,0,0,0.0,60,2.3415865066150823,2.8828736394643784,4.783604294061661,0,121
candidate,20260712,3,1,84.0,1.0,1,1,0,0,0,0,0,0.06557377049180328,61,2.2123097518428425,2.560427412390709,2.778535708785057,0,121
candidate,20260713,0,0,48.0,1.0,1,0,0,0,0,0,0,0.0,56,2.3492686450481415,2.8495225124061108,2.969907596707344,0,112
candidate,20260713,1,0,-22.0,3.0,0,0,0,0,0,0,0,0.01694915254237288,59,2.307450935497122,2.7626663446426387,3.26676107943058,0,119
candidate,20260713,2,0,-18.0,3.0,0,0,0,0,0,0,0,0.03333333333333333,60,2.2625931228200593,2.676071505993604,3.319639712572098,0,121
candidate,20260713,3,0,33.0,1.0,1,0,0,0,0,0,0,0.04878048780487805,41,2.2534293735899578,2.6973169296979904,2.721646800637245,0,82
candidate,20260714,0,0,-8.0,2.5,0,0,0,0,0,0,0,0.02564102564102564,39,2.392151130315585,3.035487048327923,3.0832793563604355,0,78
candidate,20260714,1,0,-8.0,2.5,0,0,0,0,0,0,0,0.04878048780487805,41,2.352994889384363,2.8131958097219467,4.547659307718277,0,82
candidate,20260714,2,0,-16.0,4.0,0,0,1,8,0,0,0,0.0,41,2.334463705376881,3.134721890091896,3.565952181816101,0,82
candidate,20260714,3,0,32.0,1.0,1,0,0,0,0,0,0,0.024390243902439025,41,2.3235964884118334,3.1427573412656784,3.206143155694008,0,82
candidate,20260715,0,1,108.0,1.0,1,1,0,0,0,0,0,0.03571428571428571,56,2.3007851892283986,2.7908594347536564,2.9196999967098236,0,111
candidate,20260715,1,1,33.0,1.0,1,0,0,0,0,0,0,0.0,62,2.4399702407179342,3.2432968728244305,3.510771319270134,0,124
candidate,20260715,2,1,-17.0,4.0,0,0,1,9,0,0,0,0.016129032258064516,62,2.3512073882645175,2.8790030628442764,5.080267786979675,0,124
candidate,20260715,3,1,35.0,1.0,1,0,0,0,0,0,0,0.01639344262295082,61,2.280383966252452,2.867328003048897,2.9121749103069305,0,122
candidate,20260716,0,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,40,2.3690948262810707,2.9580040834844112,3.1263623386621475,0,80
candidate,20260716,1,1,42.0,1.0,1,0,0,0,0,0,0,0.037037037037037035,27,2.355667796951753,2.984495833516121,3.1289327889680862,0,54
candidate,20260716,2,1,-26.0,4.0,0,0,1,18,0,0,0,0.07407407407407407,27,2.25737615040055,2.6544880121946335,2.795131877064705,0,54
candidate,20260716,3,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,27,2.2934161264587334,2.8873469680547714,2.9236264526844025,0,54
candidate,20260717,0,3,-24.0,4.0,0,0,1,16,0,0,0,0.0,49,2.4677535557017034,2.9152579605579376,7.241968065500259,0,98
candidate,20260717,1,3,40.0,1.0,1,0,0,0,0,0,0,0.0,49,2.3604004206706066,3.160892054438591,3.256808966398239,0,98
candidate,20260717,2,3,35.0,1.0,1,0,0,0,0,0,0,0.030303030303030304,66,2.324918567231207,2.9683150351047516,3.7315338850021362,0,132
candidate,20260717,3,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,49,2.3214538790741743,2.8842784464359283,2.9441285878419876,0,98
candidate,20260718,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.016129032258064516,62,2.333984109422853,2.8048289939761157,2.8719045221805573,0,124
candidate,20260718,1,2,-17.0,4.0,0,0,1,9,0,0,0,0.03225806451612903,62,2.282402508201138,2.7696845121681686,2.838246524333954,0,124
candidate,20260718,2,2,-8.0,2.5,0,0,0,0,0,0,0,0.016129032258064516,62,2.287278943244488,2.8667311184108257,2.933250740170479,0,124
candidate,20260718,3,2,-36.0,3.0,0,0,0,0,0,0,0,0.01282051282051282,78,2.3101876513698163,2.8949039988219725,3.7246905267238617,0,157
candidate,20260719,0,0,32.0,1.0,1,0,0,0,0,0,0,0.012987012987012988,77,2.3335075223600708,2.8106190264225006,2.903975546360016,0,154
candidate,20260719,1,0,-8.0,2.5,0,0,0,0,0,0,0,0.0,74,2.359419305985038,2.9327580705285072,5.532264709472656,0,148
candidate,20260719,2,0,-16.0,4.0,0,0,1,8,0,0,0,0.03896103896103896,77,2.277635449132362,2.6383530348539352,4.601823166012764,0,154
candidate,20260719,3,0,-17.0,3.0,0,0,0,0,0,0,0,0.012345679012345678,81,2.3737517357976348,3.0794888734817505,6.042182445526123,0,163
candidate,20260720,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.047619047619047616,63,2.3138595242348927,2.658165618777275,3.6680083721876144,0,126
candidate,20260720,1,2,35.0,1.0,1,0,0,0,0,0,0,0.0,66,2.4077587789206794,3.2553737983107567,3.637753427028656,0,132
candidate,20260720,2,2,33.0,1.0,1,0,0,0,0,0,0,0.031746031746031744,63,2.297936923920162,2.858777716755867,3.7876591086387634,0,126
candidate,20260720,3,2,-18.0,4.0,0,0,1,10,0,0,0,0.015625,64,2.275518956594169,2.748932410031557,2.993481233716011,0,128
candidate,20260721,0,1,-8.0,2.5,0,0,0,0,0,0,0,0.041666666666666664,24,2.343700577815374,2.864317409694195,2.908242866396904,0,48
candidate,20260721,1,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,20,2.2580143064260483,2.8254040516912937,2.8508231043815613,0,40
candidate,20260721,2,1,34.0,1.0,1,0,0,0,0,0,0,0.08333333333333333,24,2.267255292584499,2.807210572063923,2.8769075870513916,0,48
candidate,20260721,3,1,-18.0,4.0,0,0,1,10,0,0,0,0.0,24,2.316852410634359,2.8206899762153625,2.920156344771385,0,48
candidate,20260722,0,3,34.0,1.0,1,0,0,0,0,0,0,0.05084745762711865,59,2.299671740097515,2.6414966210722923,2.918517217040062,0,118
candidate,20260722,1,3,-18.0,4.0,0,0,1,10,0,0,0,0.03389830508474576,59,2.291022121148594,2.723536640405655,3.044823184609413,0,118
candidate,20260722,2,3,-8.0,2.5,0,0,0,0,0,0,0,0.03389830508474576,59,2.2333527962535116,2.684386819601059,2.690238878130913,0,118
candidate,20260722,3,3,-8.0,2.5,0,0,0,0,0,0,0,0.01694915254237288,59,2.2600654007519707,2.761085517704487,2.8749704360961914,0,118
candidate,20260723,0,0,-18.0,3.0,0,0,0,0,0,0,0,0.02702702702702703,37,2.368874696863664,2.945930138230324,3.008754923939705,0,75
candidate,20260723,1,0,36.0,1.0,1,0,0,0,0,0,0,0.0,39,2.308137380541899,2.844836562871933,2.871250733733177,0,78
candidate,20260723,2,0,48.0,1.0,1,1,0,0,0,0,0,0.06666666666666667,30,2.341669239103794,3.164160903543234,3.2056383788585663,0,59
candidate,20260723,3,0,-8.0,2.5,0,0,0,0,0,0,0,0.02564102564102564,39,2.270262831678757,2.753410674631596,3.0922312289476395,0,78
