model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
e16_light,20260705,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,26,14.865846659701605,2.2902656346559525,336.535207927227,0,52
e16_light,20260705,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.038461538461538464,26,1.897751926802672,2.106906846165657,2.1240413188934326,0,52
e16_light,20260705,2,2,43.0,1.0,1,0,0,0,0,0,0,0.07692307692307693,26,1.9157856272963376,2.2237543016672134,2.3334231227636337,0,52
e16_light,20260705,3,2,-27.0,4.0,0,0,1,19,0,0,0,0.0,26,2.0734236504022894,2.567265648394823,3.858311101794243,0,52
e16_light,20260706,0,3,35.0,1.0,1,0,0,0,0,0,0,0.075,40,1.9891914911568165,2.3701621219515796,2.5250669568777084,0,80
e16_light,20260706,1,3,-8.0,2.5,0,0,0,0,0,0,0,0.075,40,1.9549048505723476,2.293897420167923,2.3057684302330017,0,80
e16_light,20260706,2,3,-19.0,4.0,0,0,1,11,0,0,0,0.0,40,2.0360629074275494,2.5943711400032043,2.904638648033142,0,80
e16_light,20260706,3,3,-8.0,2.5,0,0,0,0,0,0,0,0.025,40,1.913765398785472,2.263088431209326,2.297481521964073,0,80
e16_light,20260707,0,1,-8.0,2.5,0,0,0,0,0,0,0,0.029850746268656716,67,1.9995368071901265,2.346644178032875,2.443235367536545,0,134
e16_light,20260707,1,1,-29.0,4.0,0,0,1,21,0,0,0,0.04477611940298507,67,1.9926085734545296,2.375091426074505,2.7877092361450195,0,134
e16_light,20260707,2,1,-8.0,2.5,0,0,0,0,0,0,0,0.014925373134328358,67,2.0064252859620906,2.249373681843281,4.601307213306427,0,134
e16_light,20260707,3,1,45.0,1.0,1,0,0,0,0,0,0,0.014925373134328358,67,2.0504605525465154,2.8216175734996796,4.003599286079407,0,134
e16_light,20260708,0,0,102.0,1.0,1,1,0,0,0,0,0,0.0,45,2.0612671971321106,2.5202497839927673,2.6441365480422974,0,89
e16_light,20260708,1,0,-34.0,3.0,0,0,0,0,0,0,0,0.022727272727272728,44,1.963223796337843,2.2171862423419952,2.597624436020851,0,89
e16_light,20260708,2,0,-34.0,3.0,0,0,0,0,0,0,0,0.045454545454545456,44,1.9007756544107741,2.1051173098385334,2.421952784061432,0,89
e16_light,20260708,3,0,-34.0,3.0,0,0,0,0,0,0,0,0.022727272727272728,44,2.001802098344673,2.540341392159462,2.685636281967163,0,89
